City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,0.85,69,100,3.6,CA,1694961823
1,kindu,-2.95,25.95,29.82,51,100,2.43,CD,1694961823
2,flying fish cove,-10.4217,105.6791,23.82,83,40,5.14,CX,1694961586
3,grytviken,-54.2811,-36.5092,-1.03,97,100,5.07,GS,1694961823
4,kovin,44.7475,20.9761,26.61,47,3,7.94,RS,1694961824
5,adamstown,-25.066,-130.1015,18.77,66,100,5.96,PN,1694961824
6,banjarmasin,-3.3244,114.591,25.08,83,75,1.77,ID,1694961824
7,carnarvon,-24.8667,113.6333,19.08,78,88,11.91,AU,1694961824
8,valparaiso,-33.0393,-71.6273,17.22,65,75,7.72,CL,1694961587
9,waitangi,-43.9535,-176.5597,9.9,93,98,6.26,NZ,1694961824
10,kidal,18.4411,1.4078,39.83,16,27,3.45,ML,1694961824
11,kokopo,-4.352,152.2633,24.59,74,16,6.73,PG,1694961825
12,zag,46.9441,99.165,3.76,72,38,2.35,MN,1694961825
13,taroa,8.7058,171.2275,26.35,88,100,8.79,MH,1694961825
14,talnakh,69.4865,88.3972,3.45,72,100,3.2,RU,1694961551
15,vilyuchinsk,52.9306,158.4028,10.15,75,29,7.9,RU,1694961825
16,kruisfontein,-34.0033,24.7314,17.16,57,5,7.08,ZA,1694961826
17,olonkinbyen,70.9221,-8.7187,3.3,74,84,8.48,SJ,1694961827
18,palu,-0.8917,119.8707,24.69,96,93,1.17,ID,1694961616
19,las vegas,36.175,-115.1372,28.16,36,0,2.06,US,1694961827
20,tiksi,71.6872,128.8694,-0.37,90,99,3.84,RU,1694961827
21,tamanrasset,22.785,5.5228,34.95,10,0,2.06,DZ,1694961827
22,hithadhoo,-0.6,73.0833,28.14,78,62,7.19,MV,1694961827
23,utrik,11.2278,169.8474,28.64,81,100,9.49,MH,1694961827
24,anadyr,64.75,177.4833,-1.72,93,0,2.0,RU,1694961828
25,saipan,15.1355,145.701,27.39,94,40,3.09,MP,1694961799
26,badger,64.8,-147.5333,7.95,85,100,2.57,US,1694961828
